created_at	original_headline	rewritten_headline	summary_preview	sentiment
2025-12-18 08:03:32	Rohingya Man, 19, Stabbed To Death In Hyderabad After Drunken Brawl	Hyderabad Police Take Action Against Suspect in Drunken Brawl Case	A suspect has been taken into custody following a fatal stabbing incident in Hyderabad, highlighting the importance of swift action in preventing violence.	NEGATIVE
2025-12-18 08:03:29	Opinion: Opinion | India's Aviation Model Is Cracking Under Its Own Weight	"India's Aviation Model Needs Reform to Ensure Safety and Efficiency"	"India's aviation system is plagued by understaffing, duty hour limits, and inadequate passenger protection, highlighting the need for urgent reforms to ensure safety and efficiency."	NEGATIVE
2025-12-18 08:00:16	Ghaziabad Woman Asks Tenant Couple For Rent, Ends Up Dead In A Suitcase	Couple Arrested in Ghaziabad for Landlady's Murder, Justice Served	Police in Ghaziabad near Delhi have arrested a couple for allegedly murdering their landlady when she asked them to pay rent dues, bringing a sense of justice to the community.	NEGATIVE
2025-12-18 08:00:14	Hollywood Party To Son's Arrest: Timeline Of Rob Reiner's Murder Case	Los Angeles Police Investigate Double Murder, Pursue Justice for Victims	The Los Angeles Police Department is working to solve the double murder of Rob Reiner and his wife, Michele Singer Reiner, and bring their son Nick Reiner to justice for the alleged killings.	NEGATIVE
2025-12-18 06:00:39	Three Maoists killed in encounter with security personnel in Chhattisgarh’s Sukma	Chhattisgarh Security Forces Make Progress in Maoist Encounter Operations	Security personnel in Chhattisgarh have successfully eliminated 284 Maoists in encounters this year, with 255 in the Bastar division and 27 in Gariaband district.	NEGATIVE
2025-12-18 06:00:24	'Behaving worse than hyenas': Actor Nidhhi Agerwal mobbed at Hyderabad mall	'Hyderabad Hearts Unite: Community Rallies Around Nidhhi Agerwal'	In a heartwarming display of community strength, Hyderabad residents came together to support actress Nidhhi Agerwal after a chaotic scene unfolded at a song launch event. The crowd's enthusiasm got t	POSITIVE
2025-12-18 06:00:20	"Want Money Back:" Fans Furious After Fog Forces 4th T20I Getting Abandoned	Fans Seek Refunds After India vs South Africa T20I Abandoned Due to Fog	Cricket fans are entitled to refunds after the fourth T20I was abandoned due to excessive fog, highlighting the need for better weather management in sports events.	NEGATIVE
2025-12-18 06:00:06	India's Weather Fury: 13,000 Lives Lost, Crops Ravaged, Relief Falls Short	India Works Towards Recovery After Devastating Weather Events	India is facing a massive recovery effort after extreme weather events caused widespread destruction, resulting in over 13,000 lives lost and significant crop damage.	NEGATIVE
2025-12-18 04:00:25	Drugs, parties, penalties: B'luru apartment body booked for running parallel justice system	Bengaluru Police Crack Down on Apartment Association for Running Parallel Justice System	Bengaluru police launched a probe into an apartment association and security firm for imposing illegal penalties and covering up serious crimes, collecting over Rs 3.3 lakh in fines.	NEGATIVE
2025-12-17 20:03:54	Man, Wife Arrested For Duping Thousands In Rs 300-Crore Multi-Level Marketing Scam	Couple Behind Rs 300-Crore Scam Brought to Justice	Authorities have successfully apprehended a couple involved in a multi-level marketing scam, bringing an end to their fraudulent activities.	NEGATIVE
2025-12-17 20:03:51	Zelensky Says Russia Preparing For New 'Year Of War'	Zelensky Calls for Unity Amid Russia's Threats of New War	Ukrainian President Volodymyr Zelensky warns of a potential new year of war with Russia, urging unity and caution in the face of escalating tensions.	NEGATIVE
2025-12-17 20:00:17	Maharashtra's 'Rummy' Minister Resigns Hours After Conviction In 1995 Case	Maharashtra Sports Minister Resigns Amid Corruption Allegations, Paving Way for Accountability	Maharashtra's Sports Minister Manikrao Kokate stepped down following a court conviction, marking a step towards addressing corruption within the state's government.	NEGATIVE
2025-12-17 20:00:11	Man, Wife Arrested For Duping Thousands Multi-Level Marketing Scam	Enforcement Directorate Cracks Down on Multi-Level Marketing Scam	Authorities have made a significant step in combating financial scams by arresting a man and his wife involved in a multi-level marketing scheme.	NEGATIVE
